"Trait" "Rep" "Acc.TotGen" "Model"
"383" "DM" 8 0.571218281052331 "C1_IMP2"
"384" "DM" 9 0.540749040748654 "C1_IMP2"
"385" "DM" 10 0.52320950758416 "C1_IMP2"
"386" "DM" 11 0.553788454498024 "C1_IMP2"
"387" "DM" 12 0.553284710340703 "C1_IMP2"
"388" "DM" 13 0.560049245992478 "C1_IMP2"
"389" "DM" 14 0.542308027949695 "C1_IMP2"
"390" "DM" 15 0.572099852378436 "C1_IMP2"
"391" "DM" 16 0.530657467495117 "C1_IMP2"
"392" "DM" 17 0.554431413493345 "C1_IMP2"
"393" "DM" 18 0.532189361432771 "C1_IMP2"
"394" "DM" 19 0.532992159369202 "C1_IMP2"
"395" "DM" 20 0.543419974309536 "C1_IMP2"
"396" "DM" 21 0.551328643586412 "C1_IMP2"
"397" "DM" 22 0.537794876488452 "C1_IMP2"
"398" "DM" 23 0.556067815931489 "C1_IMP2"
"399" "DM" 24 0.551752548311864 "C1_IMP2"
"400" "DM" 25 0.514242382095624 "C1_IMP2"
"401" "logRTWT" 1 0.168428579487819 "C1_IMP2"
"402" "logRTWT" 2 0.150921991183233 "C1_IMP2"
"403" "logRTWT" 3 0.117766974320831 "C1_IMP2"
"404" "logRTWT" 4 0.135072739429991 "C1_IMP2"
"405" "logRTWT" 5 0.147965103527578 "C1_IMP2"
"406" "logRTWT" 6 0.129528295528761 "C1_IMP2"
"407" "logRTWT" 7 0.162363144053103 "C1_IMP2"
"408" "logRTWT" 8 0.15952583766749 "C1_IMP2"
"409" "logRTWT" 9 0.148840892844002 "C1_IMP2"
"410" "logRTWT" 10 0.15029285429283 "C1_IMP2"
"411" "logRTWT" 11 0.140797005935906 "C1_IMP2"
"412" "logRTWT" 12 0.138532203026441 "C1_IMP2"
"413" "logRTWT" 13 0.127411440335873 "C1_IMP2"
"414" "logRTWT" 14 0.113168564679853 "C1_IMP2"
"415" "logRTWT" 15 0.143465739357 "C1_IMP2"
"416" "logRTWT" 16 0.147117011740008 "C1_IMP2"
"417" "logRTWT" 17 0.166238292191936 "C1_IMP2"
"418" "logRTWT" 18 0.139861057713566 "C1_IMP2"
"419" "logRTWT" 19 0.148156748833014 "C1_IMP2"
"420" "logRTWT" 20 0.156644680691529 "C1_IMP2"
"421" "logRTWT" 21 0.131210744967906 "C1_IMP2"
"422" "logRTWT" 22 0.158175860216187 "C1_IMP2"
"423" "logRTWT" 23 0.146984897720366 "C1_IMP2"
"424" "logRTWT" 24 0.140045713064893 "C1_IMP2"
"425" "logRTWT" 25 0.104515900944748 "C1_IMP2"
"426" "logSHTWT" 1 0.220248137618422 "C1_IMP2"
"427" "logSHTWT" 2 0.233901625070653 "C1_IMP2"
"428" "logSHTWT" 3 0.242406803813371 "C1_IMP2"
"429" "logSHTWT" 4 0.214719993098291 "C1_IMP2"
"430" "logSHTWT" 5 0.216437430531854 "C1_IMP2"
"431" "logSHTWT" 6 0.246189816737836 "C1_IMP2"
"432" "logSHTWT" 7 0.258583798914241 "C1_IMP2"
"433" "logSHTWT" 8 0.23137439862794 "C1_IMP2"
"434" "logSHTWT" 9 0.236471001041425 "C1_IMP2"
"435" "logSHTWT" 10 0.226022026970883 "C1_IMP2"
"436" "logSHTWT" 11 0.21966097640705 "C1_IMP2"
"437" "logSHTWT" 12 0.217825196177463 "C1_IMP2"
"438" "logSHTWT" 13 0.238945404543587 "C1_IMP2"
"439" "logSHTWT" 14 0.221654478640905 "C1_IMP2"
"440" "logSHTWT" 15 0.245821816424272 "C1_IMP2"
"441" "logSHTWT" 16 0.24521098224724 "C1_IMP2"
"442" "logSHTWT" 17 0.211360085458833 "C1_IMP2"
"443" "logSHTWT" 18 0.248414883747711 "C1_IMP2"
"444" "logSHTWT" 19 0.212882312619742 "C1_IMP2"
"445" "logSHTWT" 20 0.254702998699396 "C1_IMP2"
"446" "logSHTWT" 21 0.238371039093933 "C1_IMP2"
"447" "logSHTWT" 22 0.232860672780544 "C1_IMP2"
"448" "logSHTWT" 23 0.241364117688549 "C1_IMP2"
"449" "logSHTWT" 24 0.250090408084123 "C1_IMP2"
"450" "logSHTWT" 25 0.258104395389545 "C1_IMP2"
"451" "logRTNO" 1 0.103074355618436 "C1_IMP2"
"452" "logRTNO" 2 0.0827312979194677 "C1_IMP2"
"453" "logRTNO" 3 0.108878273280873 "C1_IMP2"
"454" "logRTNO" 4 0.113111379832631 "C1_IMP2"
"455" "logRTNO" 5 0.0924231128858139 "C1_IMP2"
"456" "logRTNO" 6 0.109040964757894 "C1_IMP2"
"457" "logRTNO" 7 0.0873949845258267 "C1_IMP2"
"458" "logRTNO" 8 0.119032066087617 "C1_IMP2"
"459" "logRTNO" 9 0.0981594161250695 "C1_IMP2"
"460" "logRTNO" 10 0.0633221789199468 "C1_IMP2"
"461" "logRTNO" 11 0.107028514123304 "C1_IMP2"
"462" "logRTNO" 12 0.0726484022223796 "C1_IMP2"
"463" "logRTNO" 13 0.0983393945364361 "C1_IMP2"
"464" "logRTNO" 14 0.105756682511978 "C1_IMP2"
"465" "logRTNO" 15 0.114567550123621 "C1_IMP2"
"466" "logRTNO" 16 0.062426556435105 "C1_IMP2"
"467" "logRTNO" 17 0.108803293865836 "C1_IMP2"
"468" "logRTNO" 18 0.0515719910477344 "C1_IMP2"
"469" "logRTNO" 19 0.0990675063847405 "C1_IMP2"
"470" "logRTNO" 20 0.0909049173277943 "C1_IMP2"
"471" "logRTNO" 21 0.0946545470974751 "C1_IMP2"
"472" "logRTNO" 22 0.101440928674846 "C1_IMP2"
"473" "logRTNO" 23 0.119652003831517 "C1_IMP2"
"474" "logRTNO" 24 0.111041075294644 "C1_IMP2"
"475" "logRTNO" 25 0.0855316061901304 "C1_IMP2"
"476" "DM" 1 0.574589806179641 "C1_GBS"
"477" "DM" 2 0.563456998604021 "C1_GBS"
"478" "DM" 3 0.567991542318539 "C1_GBS"
"479" "DM" 4 0.570033055760228 "C1_GBS"
"480" "DM" 5 0.586791555463688 "C1_GBS"
"481" "DM" 6 0.567775700636596 "C1_GBS"
"482" "DM" 7 0.570908715175982 "C1_GBS"
"483" "DM" 8 0.573408358785548 "C1_GBS"
"484" "DM" 9 0.576622663767324 "C1_GBS"
